Gen,BestRoute,BestFitness,Avg,Worst
0,"[SPIM-FRA, UBBB-PEK, FRA-DXB, MAD-FRA, JFK-YYZ, MAD-AMS, JFK-LAX]",4.56,0.23,0.00
1,"[FRA-AMS, AMS-LHR, SPIM-MAD, SPIM-FRA, JFK-YYZ, UBBB-PEK, PEK-HND]",0.00,0.00,0.00
2,"[SPIM-JFK, EBCI-JFK, SPIM-FRA, UBBB-PEK, FRA-DXB, MAD-FRA, JFK-YYZ, DXB-BOM, JFK-LAX, FRA-AMS, MAD-AMS]",0.00,0.00,0.00
3,"[JFK-LAX, SPIM-JFK, FRA-DXB, SPIM-FRA, UBBB-PEK, EBCI-JFK, SPIM-DXB, JFK-YYZ, SPIM-MAD, DXB-BOM, MAD-AMS, PEK-HND, AMS-LHR]",0.00,0.00,0.00
4,"[SPIM-FRA, JFK-YYZ, MAD-FRA, UBBB-PEK, FRA-DXB, MAD-AMS, JFK-LAX]",0.00,0.00,0.00
5,"[FRA-DXB, MAD-FRA, SPIM-FRA, AMS-LHR, SPIM-JFK, DXB-BOM, JFK-LAX, FRA-AMS, SPIM-DXB, MAD-AMS, JFK-YYZ, UBBB-PEK, PEK-HND, EBCI-JFK]",0.00,0.00,0.00
6,"[FRA-AMS, JFK-YYZ, UBBB-PEK, SPIM-MAD, DXB-BOM, MAD-AMS, AMS-LHR, EBCI-JFK, SPIM-JFK, MAD-FRA, PEK-HND, SPIM-DXB, SPIM-FRA, JFK-LAX, FRA-DXB]",0.00,0.00,0.00
7,"[AMS-LHR, SPIM-DXB, PEK-HND, SPIM-JFK, EBCI-JFK, SPIM-FRA, UBBB-PEK, FRA-AMS, JFK-LAX, FRA-DXB, DXB-BOM, MAD-FRA, JFK-YYZ, MAD-AMS, SPIM-MAD]",0.00,0.00,0.00
8,"[JFK-YYZ, FRA-DXB, FRA-AMS, DXB-BOM, JFK-LAX, AMS-LHR, MAD-AMS, SPIM-JFK, UBBB-PEK, MAD-FRA, SPIM-FRA, SPIM-DXB]",0.00,0.00,0.00
9,"[UBBB-PEK, JFK-YYZ, MAD-FRA, FRA-DXB, DXB-BOM, SPIM-DXB, MAD-AMS, FRA-AMS, SPIM-FRA, AMS-LHR, EBCI-JFK, SPIM-JFK, PEK-HND, SPIM-MAD, JFK-LAX]",0.00,0.00,0.00
10,"[FRA-DXB, MAD-FRA, SPIM-FRA, AMS-LHR, SPIM-JFK, DXB-BOM, JFK-LAX, FRA-AMS, SPIM-DXB, MAD-AMS, JFK-YYZ, UBBB-PEK, PEK-HND, SPIM-MAD, EBCI-JFK]",0.00,0.00,0.00
11,"[UBBB-PEK, JFK-YYZ, MAD-FRA, FRA-DXB, DXB-BOM, SPIM-DXB, MAD-AMS, FRA-AMS, SPIM-FRA, AMS-LHR, EBCI-JFK, SPIM-JFK, PEK-HND, SPIM-MAD, JFK-LAX]",0.00,0.00,0.00
12,"[FRA-DXB, MAD-FRA, JFK-LAX, JFK-YYZ, SPIM-DXB, MAD-AMS, FRA-AMS, DXB-BOM, UBBB-PEK, SPIM-FRA, AMS-LHR, SPIM-JFK, PEK-HND, EBCI-JFK]",0.00,0.00,0.00
13,"[AMS-LHR, FRA-DXB, SPIM-FRA, FRA-AMS, JFK-YYZ, SPIM-JFK, UBBB-PEK, JFK-LAX, MAD-FRA, DXB-BOM, SPIM-DXB, PEK-HND, MAD-AMS, EBCI-JFK, SPIM-MAD]",0.00,0.00,0.00
14,"[FRA-DXB, SPIM-DXB, SPIM-FRA, PEK-HND, MAD-AMS, UBBB-PEK, MAD-FRA, JFK-YYZ, SPIM-JFK, AMS-LHR, DXB-BOM, JFK-LAX, FRA-AMS, EBCI-JFK, SPIM-MAD]",0.00,0.00,0.00
15,"[PEK-HND, FRA-DXB, FRA-AMS, MAD-FRA, UBBB-PEK, SPIM-FRA, AMS-LHR, JFK-YYZ, DXB-BOM, JFK-LAX, SPIM-JFK, SPIM-DXB, MAD-AMS, SPIM-MAD, EBCI-JFK]",0.00,0.00,0.00
16,"[JFK-YYZ, FRA-DXB, FRA-AMS, MAD-FRA, SPIM-DXB, SPIM-FRA, UBBB-PEK, AMS-LHR, SPIM-JFK, EBCI-JFK, MAD-AMS, PEK-HND, SPIM-MAD, DXB-BOM, JFK-LAX]",0.00,0.00,0.00
17,"[JFK-YYZ, FRA-DXB, FRA-AMS, MAD-FRA, SPIM-JFK, SPIM-DXB, SPIM-FRA, MAD-AMS, AMS-LHR, JFK-LAX, EBCI-JFK, PEK-HND, DXB-BOM, UBBB-PEK, SPIM-MAD]",0.00,0.00,0.00
18,"[FRA-DXB, UBBB-PEK, JFK-YYZ, JFK-LAX, DXB-BOM, SPIM-DXB, MAD-AMS, FRA-AMS, SPIM-FRA, AMS-LHR, EBCI-JFK, SPIM-JFK, SPIM-MAD, MAD-FRA, PEK-HND]",0.00,0.00,0.00
19,"[FRA-DXB, SPIM-DXB, SPIM-FRA, PEK-HND, MAD-AMS, UBBB-PEK, MAD-FRA, JFK-YYZ, SPIM-JFK, AMS-LHR, DXB-BOM, JFK-LAX, FRA-AMS, SPIM-MAD, EBCI-JFK]",0.00,0.00,0.00
