pedido_id,dia,hub_origen,destino,ruta,paquetes_asignados,paquetes_pendientes
1-0000001,1,UBBB,UMMS,"SABE-OPKC@D01 | SLLP-LOWW@D01 | OERK-LDZA@D01 | SABE-OSDI@D01 | LBSF-OOMS@D01",129,0
1-0000002,1,UBBB,OAKB,"OPKC-LBSF@D01 | EBCI-LATI@D01 | OYSN-UMMS@D01 | OMDB-VIDP@D01 | OOMS-SKBO@D01",129,0
1-0000003,1,SPIM,VIDP,"LOWW-OAKB@D01 | SUAA-UBBB@D01 | SCEL-SVMI@D01 | EHAM-SEQM@D01 | LATI-VIDP@D01",130,0
1-0000004,1,UBBB,SKBO,"UBBB-OSDI@D01 | UMMS-LDZA@D01 | OSDI-OYSN@D01 | OYSN-OMDB@D01 | OSDI-SUAA@D01",130,0
1-0000005,1,EBCI,SEQM,"LATI-UMMS@D01 | UMMS-EBCI@D01 | UMMS-SVMI@D01 | UBBB-SABE@D01 | OAKB-OMDB@D01",107,23
1-0000005,1,EBCI,SEQM,"OMDB-SPIM@D01 | OSDI-UBBB@D01 | SUAA-SKBO@D01 | OERK-LKPR@D01 | LBSF-SEQM@D01",23,0
1-0000006,1,EBCI,EHAM,"SEQM-LOWW@D01 | SUAA-SGAS@D01 | EHAM-OYSN@D01 | OAKB-OMDB@D01 | LDZA-EKCH@D01",130,0
1-0000007,1,UBBB,LBSF,"EDDI-SGAS@D01 | SCEL-OYSN@D01 | SLLP-EKCH@D01 | SABE-UBBB@D01 | EBCI-SEQM@D01",130,0
2-0000008,2,UBBB,UMMS,"OOMS-OMDB@D02 | OMDB-SABE@D02 | LATI-EKCH@D02 | UBBB-SKBO@D02 | OMDB-SEQM@D02",131,0
2-0000009,2,SPIM,LBSF,"SBBR-OSDI@D02 | LKPR-EBCI@D02 | LOWW-OMDB@D02 | OYSN-OOMS@D02 | UMMS-LOWW@D02",131,0
2-0000010,2,SPIM,SVMI,"LOWW-SBBR@D02 | SVMI-LDZA@D02 | LOWW-SUAA@D02 | OYSN-SUAA@D02 | OYSN-OERK@D02",132,0
2-0000011,2,UBBB,VIDP,"SLLP-SBBR@D02 | SABE-LATI@D02 | LOWW-VIDP@D02 | SUAA-OSDI@D02 | OOMS-OYSN@D02",103,29
2-0000011,2,UBBB,VIDP,"OMDB-SGAS@D02 | SPIM-SKBO@D02 | OMDB-SABE@D02 | EBCI-VIDP@D02 | SBBR-EKCH@D02",29,0
2-0000012,2,UBBB,OERK,"EHAM-OAKB@D02 | OMDB-OERK@D02 | SPIM-LOWW@D02 | EHAM-OYSN@D02 | OSDI-VIDP@D02",107,25
2-0000012,2,UBBB,OERK,"OMDB-LBSF@D02 | SVMI-OMDB@D02 | OERK-UBBB@D02 | LATI-SEQM@D02 | UBBB-SVMI@D02",25,0
2-0000013,2,UBBB,OSDI,"SPIM-UBBB@D02 | VIDP-SBBR@D02 | OAKB-SGAS@D02 | LOWW-EKCH@D02 | SABE-OPKC@D02",132,0
3-0000014,3,SPIM,EKCH,"OSDI-SLLP@D03 | EKCH-OPKC@D03 | SGAS-EKCH@D03 | LDZA-SGAS@D03 | OSDI-OYSN@D03",134,0
3-0000015,3,EBCI,EKCH,"SPIM-OERK@D03 | SABE-SCEL@D03 | OOMS-SLLP@D03 | OSDI-EHAM@D03 | OSDI-OOMS@D03",134,0
3-0000016,3,SPIM,OAKB,"EKCH-OAKB@D03 | LATI-OJAI@D03 | EDDI-SGAS@D03 | VIDP-SBBR@D03 | SUAA-SABE@D03",134,0
3-0000017,3,UBBB,LATI,"EHAM-OMDB@D03 | SCEL-SLLP@D03 | UMMS-OJAI@D03 | OYSN-OAKB@D03 | EKCH-UBBB@D03",134,0
3-0000018,3,EBCI,LKPR,"SCEL-EHAM@D03 | SPIM-UBBB@D03 | UMMS-OOMS@D03 | SCEL-OMDB@D03 | VIDP-SGAS@D03",135,0
3-0000019,3,UBBB,OPKC,"OOMS-LDZA@D03 | SBBR-LDZA@D03 | VIDP-LBSF@D03 | SKBO-SVMI@D03 | VIDP-SKBO@D03",135,0
4-0000020,4,SPIM,OAKB,"VIDP-SGAS@D04 | OYSN-SBBR@D04 | SKBO-OSDI@D04 | SPIM-OOMS@D04 | SCEL-OJAI@D04",54,82
4-0000020,4,SPIM,OAKB,"SUAA-UMMS@D04 | SGAS-SBBR@D04 | LOWW-OJAI@D04 | OERK-SPIM@D04 | UBBB-VIDP@D04",82,0
4-0000021,4,UBBB,SEQM,"OJAI-EKCH@D04 | SBBR-OPKC@D04 | SGAS-UMMS@D04 | SKBO-OERK@D04 | SCEL-EHAM@D04",117,19
4-0000021,4,UBBB,SEQM,"SCEL-SKBO@D04 | OJAI-OERK@D04 | SCEL-EDDI@D04 | SGAS-UMMS@D04 | SBBR-OPKC@D04",19,0
4-0000022,4,EBCI,SGAS,"SUAA-OSDI@D04 | SCEL-SPIM@D04 | LBSF-OOMS@D04 | VIDP-LBSF@D04 | SLLP-OJAI@D04",137,0
4-0000023,4,EBCI,OSDI,"SPIM-OPKC@D04 | EDDI-SEQM@D04 | SPIM-SABE@D04 | EKCH-OOMS@D04 | SUAA-EHAM@D04",137,0
4-0000024,4,UBBB,EDDI,"EKCH-EDDI@D04 | OPKC-SKBO@D04 | LOWW-LKPR@D04 | SUAA-EBCI@D04 | VIDP-UMMS@D04",132,5
4-0000024,4,UBBB,EDDI,"EHAM-SABE@D04 | SKBO-OOMS@D04 | EDDI-EBCI@D04 | LDZA-OERK@D04 | EDDI-SKBO@D04",5,0
4-0000025,4,UBBB,SEQM,"OERK-SPIM@D04 | OSDI-SUAA@D04 | EKCH-OJAI@D04 | LBSF-EHAM@D04 | SUAA-OYSN@D04",137,0
5-0000026,5,SPIM,LBSF,"SPIM-EDDI@D05 | LBSF-OSDI@D05 | OOMS-EKCH@D05 | LBSF-LKPR@D05 | OJAI-SLLP@D05",139,0
5-0000027,5,UBBB,EHAM,"SKBO-LDZA@D05 | OYSN-SBBR@D05 | OYSN-UMMS@D05 | SABE-SPIM@D05 | OPKC-EHAM@D05",35,104
5-0000027,5,UBBB,EHAM,"OAKB-LBSF@D05 | OERK-EDDI@D05 | EDDI-SABE@D05 | EHAM-SABE@D05 | SPIM-EBCI@D05",104,0
5-0000028,5,UBBB,VIDP,"UMMS-EBCI@D05 | UBBB-OMDB@D05 | LBSF-OAKB@D05 | UBBB-LATI@D05 | OMDB-SABE@D05",125,14
5-0000028,5,UBBB,VIDP,"SVMI-OAKB@D05 | LATI-SLLP@D05 | SABE-OAKB@D05 | EKCH-SLLP@D05 | SLLP-VIDP@D05",14,0
5-0000029,5,SPIM,OPKC,"UMMS-SUAA@D05 | OOMS-SLLP@D05 | SBBR-OOMS@D05 | OOMS-EHAM@D05 | LATI-SBBR@D05",29,111
5-0000029,5,SPIM,OPKC,"LBSF-OSDI@D05 | SPIM-SEQM@D05 | OPKC-OJAI@D05 | OAKB-SCEL@D05 | OSDI-OYSN@D05",50,61
5-0000029,5,SPIM,OPKC,"LKPR-OMDB@D05 | EHAM-OOMS@D05 | SBBR-SGAS@D05 | EBCI-OERK@D05 | SPIM-VIDP@D05",61,0
5-0000030,5,UBBB,SBBR,"EDDI-OJAI@D05 | OAKB-OYSN@D05 | SPIM-SVMI@D05 | SPIM-SVMI@D05 | OMDB-EKCH@D05",140,0
6-0000031,6,EBCI,SLLP,"LATI-SPIM@D06 | OOMS-EHAM@D06 | SPIM-OOMS@D06 | OSDI-SGAS@D06 | SKBO-SCEL@D06",54,87
6-0000031,6,EBCI,SLLP,"OERK-LDZA@D06 | OMDB-LKPR@D06 | UBBB-SUAA@D06 | SCEL-SEQM@D06 | SKBO-OAKB@D06",87,0
6-0000032,6,SPIM,SCEL,"OJAI-SKBO@D06 | OYSN-OMDB@D06 | VIDP-LATI@D06 | OOMS-LOWW@D06 | SUAA-EDDI@D06",141,0
6-0000033,6,EBCI,SABE,"SBBR-OSDI@D06 | OMDB-OERK@D06 | SEQM-LOWW@D06 | LOWW-OOMS@D06 | EBCI-SEQM@D06",142,0
6-0000034,6,SPIM,SGAS,"LBSF-SLLP@D06 | SGAS-SEQM@D06 | SEQM-SUAA@D06 | OAKB-EBCI@D06 | EKCH-SKBO@D06",121,21
6-0000034,6,SPIM,SGAS,"LBSF-UBBB@D06 | OSDI-SPIM@D06 | SGAS-OSDI@D06 | SCEL-LATI@D06 | OSDI-SBBR@D06",15,6
6-0000034,6,SPIM,SGAS,"SPIM-VIDP@D06 | OJAI-OPKC@D06 | SABE-OJAI@D06 | SABE-UBBB@D06 | SABE-LOWW@D06",6,0
6-0000035,6,EBCI,SUAA,"OJAI-SPIM@D06 | SCEL-SLLP@D06 | VIDP-SGAS@D06 | LATI-SEQM@D06 | LATI-SABE@D06",142,0
7-0000036,7,SPIM,LATI,"LOWW-SVMI@D07 | EKCH-EDDI@D07 | OAKB-LKPR@D07 | EBCI-SLLP@D07 | UMMS-LBSF@D07",106,37
